,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
233,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,2049 reviews,Mixed,340k,https://www.coursera.org/learn/financial-engineering-1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/spark-public/flex-fe1/stocksii.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Martin Haugh, Garud Iyengar",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Pricing, Financial Modeling, Financial Risk, Financial Engineering",Engineering;Financial Modeling;Management,Engineering;Business
234,Six Sigma Green Belt,University System of Georgia,SPECIALIZATION,4.7,1746 reviews,Intermediate,25k,https://www.coursera.org/specializations/six-sigma-green-belt,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/00/c4a7d0671d11e786c7a32bf7f94fe3/GreenBeltSpecialization-Logo-600x600.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Improve Your Career With Advanced Six Sigma. Dive deeper into proven principles and tools to improve quality assurance in your organization,4.7stars,"1,507 ratings","David Cook, PhD, Bill Bailey, PhD, Christina Scherrer, PhD, Gregory Wiles, PhD","16,608","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English",English,"Lean Six Sigma, Process Improvement, Six Sigma Green Belt, Six Sigma, Process Capability",Six Sigma,Six Sigma
235,Russian for beginners ?1. ??????? ????: A1,Saint Petersburg State University,SPECIALIZATION,4.6,269 reviews,Beginner,9.8k,https://www.coursera.org/specializations/russian-for-beginners-a1,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/21/2bfcc074d04f908a4f968fa25e7835/oblozhka-na-coursera.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,204 ratings,Kosareva Еlena,"2,770","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,,Russian,Russian
236,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,2666 reviews,Mixed,80k,https://www.coursera.org/learn/animal-welfare,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e0/b9a9af76525b66801e0e89826b8414/ABW-Dog.jpg.jpeg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Professor Nat Waran, Dr Fritha Langford, Dr Heather Bacon, Miss Hayley  Walters, RVN, Dr Jill MacKay",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Animal, Animal Behavior, Veterinary, Dog",,
237,Robotics,University of Pennsylvania,SPECIALIZATION,4.4,3132 reviews,Beginner,120k,https://www.coursera.org/specializations/robotics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/5d/9e7ff083fa11e6923cad35a230c7ea/RoboticsSpecialization.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Learn the Building Blocks for a Career in Robotics. Gain experience programming robots to perform in situations and for use in crisis management,4.5stars,"2,431 ratings","Vijay Kumar, CJ Taylor, Daniel E. Koditschek, Kostas Daniilidis, Jianbo Shi, Daniel Lee, Sid Deliwala","27,913","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English",English,"Motion Planning, Particle Filter, Matlab, Robotics, Quadcoper, Automated Planning And Scheduling, A* Search Algorithm, Serial Line Internet Protocol (SLIP), Robot, Computer Vision, Estimation, Random Sample Consensus (Ransac)",Computer Vision;Management;Matlab;Robotics,Computer Vision;Business;Physical Science and Engineering
238,Engineering Project Management,Rice University,SPECIALIZATION,4.7,1783 reviews,Beginner,46k,https://www.coursera.org/specializations/engineering-project-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/26651097ce11e6880af3d57ebba4f5/comp-600px-2.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Manage Successful Engineering Projects. Master strategies and tools to more effectively and successfully manage projects.,4.7stars,"1,488 ratings","Tom Phalen, Kazimir Karwowski","17,599","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,"Planning, Schedule, Earned Value Management (EVMT), Project Management, Procurement, Project Charter, Project Planning, Risk Management Plan, Project Risk Management",Engineering;Management;Project Management,Engineering;Business;Math and Logic;Personal Development
239,Inspired Leadership,Case Western Reserve University,SPECIALIZATION,4.7,1312 reviews,Intermediate,110k,https://www.coursera.org/specializations/inspired-leadership,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/90/daf380cc2611e5ae4ba955680f1fcd/shutterstock_87219583.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Leading to inspire and engage others. Learn concepts and skills to inspire and engage others for performance, innovation and satisfaction.",4.7stars,866 ratings,"Richard Boyatzis, Diana Bilimoria, PhD, Ellen  VanOosten, PhD, Melvin Smith, Ronald Fry","15,662","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 8 months to complete, English",English,"Emotional Intelligence, Coaching, Appreciative Inquiry, Leadership, Negotiation, Mindfulness, Assertiveness, Communication, Active Listening, Change Management, Positive Psychology, Facilitation",Coaching;Communication;Emotional Intelligence ;Innovation;Leadership;Management;Negotiation;Psychology,Coaching;Computer Science;Health and Fitness;Language and Communication;Personal Development
240,Write Professional Emails in English,Georgia Institute of Technology,COURSE,4.7,7371 reviews,Mixed,360k,https://www.coursera.org/learn/professional-emails-english,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/3f/8ec60034c211e69de60937f46833a2/199356_Write_Prof_Emails_Eng.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Gerry Landers,,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,"Professional, Email Writing, Communication, Writing",Communication;English;Writing,Communication;Business;Computer Science;Personal Development
241,Introduction to Cyber Security,New York University,SPECIALIZATION,4.7,1713 reviews,Beginner,36k,https://www.coursera.org/specializations/intro-cyber-security,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e5/5b94f0bb5811e78eb4ffb2bb669fdb/Introduction-to-Cyber-Security.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Cyber Security. An introduction to modern information and system protection technology and methods.,4.7stars,"1,440 ratings",Dr. Edward G. Amoroso,"16,333","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,"Cryptography, Cybersecurity, Risk Assessment, Cyber Defense, Cyber Attacks, Information Security (INFOSEC), Denial-Of-Service Attack (DOS), Public-Key Cryptography",Cybersecurity;Security and Cryptography,Cybersecurity
242,Strategic Management and Innovation,Copenhagen Business School,SPECIALIZATION,4.7,3434 reviews,Beginner,74k,https://www.coursera.org/specializations/strategic-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/CBS_StrategicManagement_CM319425.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Manage 21st Century Business Strategy. Develop and implement an innovative business approach in just three courses.,4.7stars,"3,082 ratings","Robert Austin, Marcus Møller Larsen, Nicolai Pogrebnyakov","22,024","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Strategic Management, Strategy Implementation, Strategic Thinking, Business Strategy, Strategic Planning, Decision-Making, Performance Management",Business;Business Management;Innovation;Management;Strategic Management;Strategy,Business;Business;Computer Science;Personal Development
243,The Data Scientist?? Toolbox,Johns Hopkins University,COURSE,4.6,27050 reviews,Mixed,470k,https://www.coursera.org/learn/data-scientists-tools,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/37/6352a069b511e3ae92c39913bb30e0/DataScientistsToolbox.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Jeff Leek, PhD, Roger D. Peng, PhD, Brian Caffo, PhD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Data Science, Github, R Programming, Rstudio",GitHub;R;Science,GitHub;Life Science
244,Machine Learning for Trading,Google Cloud,SPECIALIZATION,3.9,587 reviews,Intermediate,18k,https://www.coursera.org/specializations/machine-learning-trading,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/40/4b0fb9170f4e2181e3b55e1c7296a6/AI_for_Finance_Specialization_Coursera_Logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.0stars,454 ratings,"Jack Farmer, Ram Seshadri","8,276","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English",English,"Finance, Trading, Investment, Machine Learning applied to Finance, Algorithmic Trading, Python Programming, Machine Learning, Reinforcement Learning Model Development, Reinforcement Learning Trading Algorithm Optimization, Reinforcement Learning Trading Strategy Development, Reinforcement Learning Trading Algo Development",Finance;Investment;Machine Learning;Python;Strategy;Trading,Finance;Data Science;Math and Logic;Computer Science
245,Introductory Human Physiology,Duke University,COURSE,4.7,2718 reviews,Mixed,290k,https://www.coursera.org/learn/physiology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/humanphysio/large-icon.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Jennifer Carbrey, Emma Jakoi",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Metabolic Pathways, Biology, Organ Systems, Medicine",,
246,"Influencing: Storytelling, Change Management and Governance",Macquarie University,SPECIALIZATION,4.8,786 reviews,Beginner,30k,https://www.coursera.org/specializations/influencing-storytelling-change-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/2c/482a4f7de643cd99c1f813cca2c1df/Influencing_Communicate-with-impact.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,416 ratings,"Professor Richard Badham, Brenda Santiago, Dr Andrew Heys, Associate Professor Lawrence Ang, Arabella MacPherson, Professor Elizabeth Sheedy","4,155","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"Change Management, Communication, Negotiation, Risk governance",Communication;Management;Negotiation,Communication;Business;Computer Science;Personal Development
247,Managing the Company of the Future,London Business School,COURSE,4.8,2096 reviews,Mixed,60k,https://www.coursera.org/learn/company-future-management,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d8/329c306c2611e4bc69f1dbb9888199/MCOF_MOOC_course_logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Julian BirkinshawTop Instructor,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Management Theory, Strategic Management, Leadership, Management",Leadership;Management;Strategic Management,Leadership
248,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,2478 reviews,Intermediate,120k,https://www.coursera.org/specializations/data-analytics-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ff/4f8d806f9611e69e05914bac5abc00/AdobeStock_44161057--square.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Gain Real-World Business Analytics Skills. Leverage data to solve complex business problems.,4.7stars,"1,543 ratings","David Torgerson, Dan Zhang, Manuel Laguna","23,243","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English",English,"Data Analysis, Data Visualization (DataViz), Mathematical Optimization, SQL, Data Model, Data Quality, Regression Analysis, Data Cleansing, Predictive Modelling, Exploratory Data Analysis, Simulation, Business Analytics",Business;Business Analysis;Data Analysis;SQL;SQL ,Business;Business;Computer Science;Math and Logic;Personal Development;Data Science
249,Power Electronics,University of Colorado Boulder,SPECIALIZATION,4.8,2386 reviews,Intermediate,77k,https://www.coursera.org/specializations/power-electronics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/30b020b5a311e5b7f4377491ebab0b/PE-Banner-2_thumb.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Expand your Engineering Excellence. Create modern power electronics systems for our devices, transportation and infrastructure.",4.8stars,"2,050 ratings","Dr. Robert Erickson, Dr. Dragan Maksimovic, Dr. Khurram Afridi","24,363","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English",English,,Electronics;Engineering,Electronics;Physical Science and Engineering
